Unnamed: 0,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,artist_name,track_name,preview_url,binary_label,multiclass_label
38,4OFTmdZIFPwlQTtXbdXvBJ,0.47,0.0355,7,-27.239,1,0.035,0.9840000000000001,0.934,0.10099999999999999,0.0456,111.965,191524,4,miss Isa,In the Gold of the Sun,https://p.scdn.co/mp3-preview/3dff2f2bcbff6e878d2c0df251f0a309cb35f9b6?cid=1f08b74262ce473390052367a2428089,-1,2
39,6cCJLQydZi0hOugxKQPZUZ,0.14800000000000002,0.00571,9,-35.191,1,0.04,0.983,0.821,0.10400000000000001,0.0521,138.736,193500,4,Pearl Melendez,Acércate,https://p.scdn.co/mp3-preview/e76546af30a6aedd1961ea1dceff241dedeee16d?cid=1f08b74262ce473390052367a2428089,-1,2
40,2vQ4scL1dp9w3jKBv99GVm,0.11,0.0032600000000000003,0,-35.61,1,0.0494,0.8640000000000001,0.903,0.12300000000000001,0.0376,93.07,212000,4,Darcie Roman,Noraezean,https://p.scdn.co/mp3-preview/c3e1f9e1f34f1efac15c5c0cceebe75ab715b2eb?cid=1f08b74262ce473390052367a2428089,-1,2
41,70w16KjhO0HQz6eqllKYJo,0.20600000000000002,0.0132,7,-30.649,1,0.0406,0.99,0.9740000000000001,0.10800000000000001,0.0872,74.014,169000,3,Vishal Casey,Appreciation,https://p.scdn.co/mp3-preview/3adcefd34504484dd22f834a93ad235f0b7d5c59?cid=1f08b74262ce473390052367a2428089,-1,2
42,0wOCx6BAKo9ZSpejgL8C2Y,0.0701,0.00432,9,-34.881,1,0.0419,0.988,0.877,0.0891,0.136,76.64399999999999,206500,4,Artemio Li Fonti,Desiderio,https://p.scdn.co/mp3-preview/0bed8d3caa6b0a8591117cff9fcd1060bb12d500?cid=1f08b74262ce473390052367a2428089,-1,2
43,3BXxpljx5qawevsOU6UzHY,0.17800000000000002,0.0065,10,-36.665,1,0.0414,0.986,0.7909999999999999,0.106,0.122,67.036,174500,3,Samira Tesfay,Make It Last,https://p.scdn.co/mp3-preview/97695be9dd97eb5fb74e7d9a6b1339c138538362?cid=1f08b74262ce473390052367a2428089,-1,2
44,381txcpzL73JjcdV2690sm,0.0778,0.00796,3,-35.644,1,0.0376,0.9590000000000001,0.907,0.106,0.0491,79.221,122637,3,Spacetactular,Reappearance,https://p.scdn.co/mp3-preview/ec96f9e879cc69d900c8db6c1653e6b6b2c0c92f?cid=1f08b74262ce473390052367a2428089,-1,2
45,1qexZcBQUxrTM3RGeLU7Nr,0.152,0.00262,5,-34.951,1,0.0409,0.995,0.9440000000000001,0.0902,0.0765,138.904,188000,3,Nessa Manuel,Sonhando,https://p.scdn.co/mp3-preview/48f7da330afd031a9cc3505801576f8d7cc64e66?cid=1f08b74262ce473390052367a2428089,-1,2
46,2mnHERT3I2AP2g4S1V8rXH,0.0737,0.153,0,-23.758000000000003,1,0.052000000000000005,0.579,0.85,0.10300000000000001,0.0619,61.786,212400,5,Stone Steps,Birdcage Walk,https://p.scdn.co/mp3-preview/9d2d9f4a128fae11dd681a516e9859166e51cefe?cid=1f08b74262ce473390052367a2428089,-1,2
47,2gMo97mAY1eW2iJ8fF6sDw,0.0707,0.0549,9,-27.495,0,0.0557,0.519,0.846,0.114,0.043,76.712,220875,3,Massimu,Bella,https://p.scdn.co/mp3-preview/344774e72c34d36c92b3bdc93804b707a17ed7db?cid=1f08b74262ce473390052367a2428089,-1,2
48,77FxLSbbPmRet4It3IWRB9,0.249,0.0307,4,-27.894000000000002,0,0.0333,0.951,0.902,0.0695,0.0391,57.053000000000004,168947,4,Selma Ström,Secrets,https://p.scdn.co/mp3-preview/6f3c0e68af2318b902dc51baf7fb64b10cd69223?cid=1f08b74262ce473390052367a2428089,-1,2
49,1i08QuMuJk5RPROZkCkt8k,0.127,0.0040100000000000005,10,-35.229,1,0.0408,0.991,0.856,0.106,0.0875,73.205,199500,3,Artura Ponce Valles,Soñando contigo,https://p.scdn.co/mp3-preview/46c716f4f2bbf3895049a6c71cd744556b6056c4?cid=1f08b74262ce473390052367a2428089,-1,2
50,5i3gMF4xQnyFWXtmkI1JfD,0.177,0.0652,2,-29.909000000000002,0,0.0462,0.972,0.9109999999999999,0.0802,0.168,72.676,173500,1,Solene Edgar,Lights Out,https://p.scdn.co/mp3-preview/20e4abbbc5e1d009a3396902bc66f2974b788c6e?cid=1f08b74262ce473390052367a2428089,-1,2
51,6cJq37QktSAzv6bdUq0Bdc,0.0718,0.0728,10,-31.405,0,0.0405,0.9840000000000001,0.946,0.10300000000000001,0.0366,75.346,153600,1,Atli Þórirsson,vindur,https://p.scdn.co/mp3-preview/4ef46fdbbf1dadb539239e3c1aa8f44f858eb6b0?cid=1f08b74262ce473390052367a2428089,-1,2
52,5BuUke8soY1IIEeJK4eNkk,0.12300000000000001,0.00485,1,-36.102,1,0.0481,0.9740000000000001,0.8320000000000001,0.11599999999999999,0.0394,77.05,141138,3,Boreal Embla,Sineway,https://p.scdn.co/mp3-preview/0ae980f5fcfe840651c83d677dd2aff0f176ff69?cid=1f08b74262ce473390052367a2428089,-1,2
53,6K3GQ0EUISQazk67bWfWCB,0.152,0.0593,2,-27.497,1,0.0346,0.887,0.878,0.0874,0.0712,71.618,210000,4,Gerda Holmes,Paper Planes,https://p.scdn.co/mp3-preview/062021ea4fab949b64b43f5347d2a7a35a8af1cb?cid=1f08b74262ce473390052367a2428089,-1,2
54,2RU8cVyW2Js19dwySkLdFb,0.209,0.03,9,-25.489,0,0.0413,0.988,0.907,0.10400000000000001,0.0371,104.95299999999999,205254,4,Rim-Shaz,Oko marries Eb,https://p.scdn.co/mp3-preview/74ef8c680ce7df68e198977c93f2d8e5a54d7539?cid=1f08b74262ce473390052367a2428089,-1,2
55,0SHIkGcjuVoAuAbezjBfiT,0.158,0.0186,11,-33.662,0,0.0456,0.992,0.9209999999999999,0.10099999999999999,0.0531,135.36,190346,3,Rebecka Aether,Becalming,https://p.scdn.co/mp3-preview/f4250e569052ad67ad4c2ff94ab8ae3ead175d4b?cid=1f08b74262ce473390052367a2428089,-1,2
56,1aU0CFHRycE2Va7CVmDZEX,0.153,0.0485,9,-29.07,1,0.0422,0.748,0.6829999999999999,0.111,0.0374,63.351000000000006,160000,3,Huma,Illa Pancha,https://p.scdn.co/mp3-preview/3382dcbc7dc58632548dc2d64d2196b0b55fbb79?cid=1f08b74262ce473390052367a2428089,-1,2
57,5ZVmS3L1zuMHJ6SsAsZe2X,0.235,0.0741,1,-23.27,0,0.0399,0.986,0.9279999999999999,0.0865,0.0377,65.207,218000,4,Úrkoma,Tranquility,https://p.scdn.co/mp3-preview/3652f73090850494e3a2026b10691ca96b9947ba?cid=1f08b74262ce473390052367a2428089,-1,2
58,56y8h73SZXnIzR0fGSQlca,0.16399999999999998,0.0188,10,-34.105,1,0.0341,0.946,0.893,0.081,0.0593,71.96,115800,4,Adeline Verver,Turndown Service,https://p.scdn.co/mp3-preview/554e64aa24802b4369353be80554e5b3c17a0d92?cid=1f08b74262ce473390052367a2428089,-1,2
59,24Q4s34r5lTO9bCkdZnNaO,0.0672,0.0115,0,-30.287,1,0.0452,0.987,0.904,0.1,0.0358,75.441,157497,3,Juno Reed,Separated,https://p.scdn.co/mp3-preview/c0947f9321423cd886b87bde63b835a06e4c3039?cid=1f08b74262ce473390052367a2428089,-1,2
60,1iUWhhQqt3vCxrMCZluokP,0.0874,0.00818,9,-35.716,1,0.0367,0.992,0.905,0.0875,0.133,69.2,200500,3,Charmaine D'Avis,Suivez-moi,https://p.scdn.co/mp3-preview/e4a43e400a7e903a2d451919f70d1d4d42b93a91?cid=1f08b74262ce473390052367a2428089,-1,2
61,4ahkHICHrJKitc3ki96AAY,0.0912,0.0823,0,-25.735,1,0.0386,0.92,0.889,0.109,0.0366,83.155,222292,3,Alma Meris,Day One,https://p.scdn.co/mp3-preview/fb9e94b54fe691ca979837d6383232a04b05ed93?cid=1f08b74262ce473390052367a2428089,-1,2
62,2ELGnSdAgGJ39GcymZPUdO,0.18,0.0462,5,-33.567,0,0.04,0.972,0.7490000000000001,0.0788,0.0392,68.15,186000,4,Nadia Pugh,Everything is Different,https://p.scdn.co/mp3-preview/ae456f1ae6dd0ecbd359a8b0b557f5cc8a228538?cid=1f08b74262ce473390052367a2428089,-1,2
63,1aTm8TO1G472gJR3c4g9Iv,0.158,0.0027600000000000003,9,-35.317,1,0.0496,0.96,0.9129999999999999,0.10099999999999999,0.187,71.954,220447,5,Eyla Calmes,Andestus,https://p.scdn.co/mp3-preview/caf7d779c5236d66c4afaa03e5ef2425e29e7c4d?cid=1f08b74262ce473390052367a2428089,-1,2
64,1eENdH1bdiDgMIWy4FKle1,0.182,0.0119,11,-37.195,1,0.0346,0.973,0.9690000000000001,0.0934,0.159,80.813,175937,4,Dreams And Memories,Moment Of Peace,https://p.scdn.co/mp3-preview/c9a12ebdeff347d3723ac09f94ea9b3517cddcdd?cid=1f08b74262ce473390052367a2428089,-1,2
65,0CwVkwUUCZPYZdj7SafQYL,0.165,0.16399999999999998,0,-20.668000000000003,1,0.0433,0.7929999999999999,0.8079999999999999,0.107,0.0326,130.222,185769,4,The Destination,Aurora,https://p.scdn.co/mp3-preview/5f520bf70fc06d84a8c57f76bed2446c2c40a524?cid=1f08b74262ce473390052367a2428089,-1,2
66,111z9TkkoGcVODDNHYRLd2,0.218,0.0135,9,-30.351,0,0.0411,0.975,0.8909999999999999,0.107,0.0461,127.484,187375,4,Poppy Robson,Aphelion,https://p.scdn.co/mp3-preview/8d88fb8f290e59474d1c79d7e7318b4eff8e1cc7?cid=1f08b74262ce473390052367a2428089,-1,2
67,5XpGnwCqMlGFi1x4YdlKFE,0.26,0.124,11,-23.815,1,0.0321,0.9670000000000001,0.847,0.0939,0.16699999999999998,70.057,161886,4,Ambienetic,Deep Dive,https://p.scdn.co/mp3-preview/9beab1affc32e04f91522064efafab2fc1859b09?cid=1f08b74262ce473390052367a2428089,-1,2
68,4VdLOyYe6ZEyLx0LbYdyvy,0.17,0.00316,5,-38.615,0,0.0422,0.991,0.9309999999999999,0.111,0.0946,70.964,194649,3,Cameron Sinosa,Querencia,https://p.scdn.co/mp3-preview/defdb278de741fbef3321d18c3fcd3bf19c1d7a8?cid=1f08b74262ce473390052367a2428089,-1,2
69,4FHNG73v2Ws7QQqR2kvIUp,0.179,0.0069099999999999995,9,-36.524,1,0.04,0.992,0.8590000000000001,0.0888,0.142,75.233,171125,3,Minik Knudsen,Over skyerne,https://p.scdn.co/mp3-preview/cb5cc1795e1ae9dc334610c471a9bd4b520f2537?cid=1f08b74262ce473390052367a2428089,-1,2
70,3VlcsvQirSTpAJfet47IcJ,0.233,0.0212,1,-24.439,1,0.0358,0.99,0.8240000000000001,0.102,0.0385,78.803,146506,4,Osteriana,Chilling Silence,https://p.scdn.co/mp3-preview/48348e90896f722d4b4d45226ec8c08742ef0bb5?cid=1f08b74262ce473390052367a2428089,-1,2
